Time,Strain
-1.703857420875,4.560390988811217e-26
-1.70361328025,-9.869467587887959e-27
-1.703369139625,-6.524417780704548e-26
-1.703124999,-1.204791515151629e-25
-1.702880858375,-1.7553472756699746e-25
-1.70263671775,-2.303687541684148e-25
-1.702392577125,-2.8493387255606844e-25
-1.7021484365,-3.3917658602538116e-25
-1.701904295875,-3.9303790807643636e-25
-1.70166015525,-4.464552101597948e-25
-1.701416014625,-4.993649083861949e-25
-1.701171874,-5.517053196905342e-25
-1.700927733375,-6.034187216007793e-25
-1.70068359275,-6.544520018357048e-25
-1.700439452125,-7.047560840664515e-25
-1.7001953115,-7.542847148106822e-25
-1.699951170875,-8.029929329427929e-25
-1.69970703025,-8.508352832855554e-25
-1.699462889625,-8.977640782498571e-25
-1.699218749,-9.437283280036565e-25
-1.698974608375,-9.88673744576057e-25
-1.69873046775,-1.0325437102387691e-24
-1.698486327125,-1.075280959398726e-24
-1.6982421865,-1.1168299379053346e-24
-1.697998045875,-1.1571396815244947e-24
-1.69775390525,-1.196166420385323e-24
-1.697509764625,-1.2338747520388796e-24
-1.697265624,-1.2702367781679703e-24
-1.697021483375,-1.3052295990781134e-24
-1.69677734275,-1.3388320816933136e-24
-1.696533202125,-1.3710217277951728e-24
-1.6962890615,-1.4017723710329142e-24
-1.696044920875,-1.4310535001728529e-24
-1.69580078025,-1.4588317044159079e-24
-1.695556639625,-1.4850738318006475e-24
-1.695312499,-1.509750637786163e-24
-1.695068358375,-1.5328397155947274e-24
-1.69482421775,-1.5543270964252329e-24
-1.694580077125,-1.5742073018326549e-24
-1.6943359365,-1.5924817121971884e-24
-1.694091795875,-1.6091554705153861e-24
-1.69384765525,-1.6242338945555484e-24
-1.693603514625,-1.6377197657208745e-24
-1.693359374,-1.6496123332714589e-24
-1.693115233375,-1.6599079408842212e-24
-1.69287109275,-1.668601748359045e-24
-1.692626952125,-1.675690129369209e-24
-1.6923828115,-1.6811733110100652e-24
-1.692138670875,-1.6850575039396245e-24
-1.69189453025,-1.687355752297835e-24
-1.691650389625,-1.688087336912426e-24
-1.691406249,-1.687276209479872e-24
-1.691162108375,-1.6849489744417073e-24
-1.69091796775,-1.6811326424384045e-24
-1.690673827125,-1.6758524484677264e-24
-1.6904296865,-1.6691304105981255e-24
-1.690185545875,-1.6609852582504225e-24
-1.68994140525,-1.6514336677270053e-24
-1.689697264625,-1.6404921419897959e-24
-1.689453124,-1.6281789691959629e-24
-1.689208983375,-1.6145160748579785e-24
-1.68896484275,-1.5995305220896308e-24
-1.688720702125,-1.5832550434474396e-24
-1.6884765615,-1.5657270691357475e-24
-1.688232420875,-1.5469864085560776e-24
-1.68798828025,-1.5270723323148763e-24
-1.687744139625,-1.5060207972529952e-24
-1.687499999,-1.4838623521890937e-24
-1.687255858375,-1.4606213354278888e-24
-1.68701171775,-1.4363169929983396e-24
-1.686767577125,-1.4109665074940812e-24
-1.6865234365,-1.3845888981221872e-24
-1.686279295875,-1.357208307696834e-24
-1.68603515525,-1.3288557035145502e-24
-1.685791014625,-1.2995687883867867e-24
-1.685546874,-1.2693902656595308e-24
-1.685302733375,-1.2383647652147048e-24
-1.68505859275,-1.2065352253557309e-24
-1.684814452125,-1.1739400499588905e-24
-1.6845703115,-1.140612148665448e-24
-1.684326170875,-1.1065799921957164e-24
-1.68408203025,-1.0718699582844494e-24
-1.683837889625,-1.0365091109634488e-24
-1.683593749,-1.0005277657138645e-24
-1.683349608375,-9.639612008492355e-25
-1.68310546775,-9.268499030960078e-25
-1.682861327125,-8.892382871132448e-25
-1.6826171865,-8.511726285191587e-25
-1.682373045875,-8.126991453658404e-25
-1.68212890525,-7.738625779795835e-25
-1.681884764625,-7.347050814985042e-25
-1.681640624,-6.952654068240002e-25
-1.681396483375,-6.555787680793435e-25
-1.68115234275,-6.156777099238305e-25
-1.680908202125,-5.755937681305812e-25
-1.6806640615,-5.353594622830584e-25
-1.680419920875,-4.950103246487887e-25
-1.68017578025,-4.545866820294345e-25
-1.679931639625,-4.141345429161603e-25
-1.679687499,-3.73704828359542e-25
-1.679443358375,-3.333508504408024e-25
-1.67919921775,-2.931248890959046e-25
-1.678955077125,-2.530750488390499e-25
-1.6787109365,-2.1324321870031936e-25
-1.678466795875,-1.7366459258448202e-25
-1.67822265525,-1.3436908538621816e-25
-1.677978514625,-9.538458035100376e-26
-1.677734374,-5.674102651288432e-26
-1.677490233375,-1.8473710174998753e-26
-1.67724609275,1.9375626686774125e-26
-1.677001952125,5.676002685064059e-26
-1.6767578115,9.363023694249356e-26
-1.676513670875,1.299383952113191e-25
-1.67626953025,1.6564155295677685e-25
-1.676025389625,2.007039904444416e-25
-1.675781249,2.3509753175634626e-25
-1.675537108375,2.687999434332715e-25
-1.67529296775,3.0179239420038527e-25
-1.675048827125,3.340570285506597e-25
-1.6748046865,3.6557510475863984e-25
-1.674560545875,3.9632575757576684e-25
-1.67431640525,4.2628559358440925e-25
-1.674072264625,4.554293987436585e-25
-1.673828124,4.837317813134542e-25
-1.673583983375,5.111690806491593e-25
-1.67333984275,5.377209947084712e-25
-1.673095702125,5.633718637717512e-25
-1.6728515615,5.881116273395648e-25
-1.672607420875,6.119360837886631e-25
-1.67236328025,6.348459738241326e-25
-1.672119139625,6.568449414807179e-25
-1.671874999,6.779370151172798e-25
-1.671630858375,6.981242890805999e-25
-1.67138671775,7.174052406937888e-25
-1.671142577125,7.357741527538729e-25
-1.6708984365,7.532222378865929e-25
-1.670654295875,7.697405897666889e-25
-1.67041015525,7.853240560360653e-25
-1.670166014625,7.999744959703751e-25
-1.669921874,8.137022769497209e-25
-1.669677733375,8.265257501753842e-25
-1.66943359275,8.384689844567428e-25
-1.669189452125,8.495582217794535e-25
-1.6689453115,8.598178768709768e-25
-1.668701170875,8.692673681287447e-25
-1.66845703025,8.779199359538066e-25
-1.668212889625,8.857836836151531e-25
-1.667968749,8.92864140762719e-25
-1.667724608375,8.991674133320742e-25
-1.66748046775,9.047031821821764e-25
-1.667236327125,9.094868245070172e-25
-1.6669921865,9.135398697282538e-25
-1.666748045875,9.168884846520026e-25
-1.66650390525,9.195606522223994e-25
-1.666259764625,9.215832652457298e-25
-1.666015624,9.229799871966572e-25
-1.665771483375,9.23770040041489e-25
-1.66552734275,9.239678764467814e-25
-1.665283202125,9.23583861404126e-25
-1.6650390615,9.226259467773369e-25
-1.664794920875,9.211018278924095e-25
-1.66455078025,9.19020886960138e-25
-1.664306639625,9.163956040699448e-25
-1.664062499,9.1324244755839e-25
-1.663818358375,9.095820663608613e-25
-1.66357421775,9.054383545040797e-25
-1.663330077125,9.008363156193677e-25
-1.6630859365,8.957993892700273e-25
-1.662841795875,8.903471669511462e-25
-1.66259765525,8.844940271143978e-25
-1.662353514625,8.782488425327655e-25
-1.662109374,8.716159777003529e-25
-1.661865233375,8.645977824918693e-25
-1.66162109275,8.571981495831884e-25
-1.661376952125,8.494258827557436e-25
-1.6611328115,8.412965342406537e-25
-1.660888670875,8.328321172687887e-25
-1.66064453025,8.240589031653919e-25
-1.660400389625,8.150038856332848e-25
-1.660156249,8.056907655097954e-25
-1.659912108375,7.961367318665671e-25
-1.65966796775,7.863513717842516e-25
-1.659423827125,7.763381950040405e-25
-1.6591796865,7.660979917947993e-25
-1.658935545875,7.556326184392783e-25
-1.65869140525,7.449481165960761e-25
-1.658447264625,7.340565950018434e-25
-1.658203124,7.229764895463056e-25
-1.657958983375,7.117310280476759e-25
-1.65771484275,7.0034539195158e-25
-1.657470702125,6.888437431436024e-25
-1.6572265615,6.772471898315442e-25
-1.656982420875,6.655729851588261e-25
-1.65673828025,6.538346700622227e-25
-1.656494139625,6.420429139841057e-25
-1.656249999,6.302069555158147e-25
-1.656005858375,6.183363189703645e-25
-1.65576171775,6.064422415930187e-25
-1.655517577125,5.945385147804063e-25
-1.6552734365,5.826419175926814e-25
-1.655029295875,5.7077237011792075e-25
-1.65478515525,5.589524036604566e-25
-1.654541014625,5.472054171444003e-25
-1.654296874,5.355528853060953e-25
-1.654052733375,5.240114970054066e-25
-1.65380859275,5.125912853557594e-25
-1.653564452125,5.012953001074698e-25
-1.6533203115,4.90120956806809e-25
-1.653076170875,4.790629779150309e-25
-1.65283203025,4.681173402429109e-25
-1.652587889625,4.57284890937254e-25
-1.652343749,4.465730956693232e-25
-1.652099608375,4.359951977898122e-25
-1.65185546775,4.255672476511191e-25
-1.651611327125,4.153040781815021e-25
-1.6513671865,4.0521531604831274e-25
-1.651123045875,3.953025018337586e-25
-1.65087890525,3.855583871250162e-25
-1.650634764625,3.759688934618369e-25
-1.650390624,3.665169926136825e-25
-1.650146483375,3.571868324975644e-25
-1.64990234275,3.479666077660932e-25
-1.649658202125,3.3884960004568785e-25
-1.6494140615,3.2983352331543275e-25
-1.649169920875,3.2091853313065826e-25
-1.64892578025,3.1210447519193217e-25
-1.648681639625,3.0338829890173635e-25
-1.648437499,2.947625099417284e-25
-1.648193358375,2.862148414240594e-25
-1.64794921775,2.7772866280024923e-25
-1.647705077125,2.692837291563626e-25
-1.6474609365,2.6085738274738105e-25
-1.647216795875,2.5242638166100807e-25
-1.64697265525,2.4396902201426313e-25
-1.646728514625,2.354668957492716e-25
-1.646484374,2.2690590175908683e-25
-1.646240233375,2.1827648012393564e-25
-1.64599609275,2.095729405768744e-25
-1.645751952125,2.0079158915822074e-25
-1.6455078115,1.9192779511283377e-25
-1.645263670875,1.8297297462789227e-25
-1.64501953025,1.739127824066823e-25
-1.644775389625,1.6472725473096168e-25
-1.644531249,1.5539287394661152e-25
-1.644287108375,1.4588610035306937e-25
-1.64404296775,1.3618761243764124e-25
-1.643798827125,1.2628597877712648e-25
-1.6435546865,1.1617921528543178e-25
-1.643310545875,1.058733771355085e-25
-1.64306640525,9.537874882587963e-26
-1.642822264625,8.470519544993915e-26
-1.642578124,7.385818682090084e-26
-1.642333983375,6.283642642834897e-26
-1.64208984275,5.1631609323659355e-26
-1.641845702125,4.0230475383805836e-26
-1.6416015615,2.861857900911636e-26
-1.641357420875,1.678437267355378e-26
-1.64111328025,4.72212645509586e-27
-1.640869139625,-7.566995119409929e-27
-1.640624999,-2.007553323503008e-26
-1.640380858375,-3.279158811752521e-26
-1.64013671775,-4.570149895908427e-26
-1.639892577125,-5.879266007059437e-26
-1.6396484365,-7.205553556107955e-26
-1.639404295875,-8.548432072513038e-26
-1.63916015525,-9.90765274383822e-26
-1.638916014625,-1.1283213868348542e-25
-1.638671874,-1.2675255798978632e-25
-1.638427733375,-1.4083912298155302e-25
-1.63818359275,-1.550911695439739e-25
-1.637939452125,-1.6950418694430106e-25
-1.6376953115,-1.8406871607193433e-25
-1.637451170875,-1.9877028210760943e-25
-1.63720703025,-2.1359042888093813e-25
-1.636962889625,-2.285089669181544e-25
-1.636718749,-2.4350729168784717e-25
-1.636474608375,-2.585718708438486e-25
-1.63623046775,-2.7369647776352415e-25
-1.635986327125,-2.8888217854182103e-25
-1.6357421865,-3.0413510702581127e-25
-1.635498045875,-3.1946276803213026e-25
-1.63525390525,-3.3486977381852795e-25
-1.635009764625,-3.503540741133364e-25
-1.634765624,-3.6590501489027497e-25
-1.634521483375,-3.8150429240173446e-25
-1.63427734275,-3.971296795492835e-25
-1.634033202125,-4.127600484618277e-25
-1.6337890615,-4.283797726407033e-25
-1.633544920875,-4.439811588680933e-25
-1.63330078025,-4.595643607662511e-25
-1.633056639625,-4.751348346628519e-25
-1.632812499,-4.906990796713114e-25
-1.632568358375,-5.062601824838773e-25
-1.63232421775,-5.21814874576253e-25
-1.632080077125,-5.373529418436776e-25
-1.6318359365,-5.528585616597343e-25
-1.631591795875,-5.683125633329912e-25
-1.63134765525,-5.83694871093464e-25
-1.631103514625,-5.989867170066229e-25
-1.630859374,-6.141721789602968e-25
-1.630615233375,-6.292386576263018e-25
-1.63037109275,-6.441764269965407e-25
-1.630126952125,-6.589778654714595e-25
-1.6298828115,-6.736367440115131e-25
-1.629638670875,-6.8814731165785615e-25
-1.62939453025,-7.025027813096085e-25
-1.629150389625,-7.166933865226078e-25
-1.628906249,-7.307047085804556e-25
-1.628662108375,-7.445169115202218e-25
-1.62841796775,-7.581052085341847e-25
-1.628173827125,-7.714417659870556e-25
-1.6279296865,-7.844990378535356e-25
-1.627685545875,-7.972537506744453e-25
-1.62744140525,-8.096898677301117e-25
-1.627197264625,-8.217989060096925e-25
-1.626953124,-8.335772129332576e-25
-1.626708983375,-8.450212496201447e-25
-1.62646484275,-8.561225716012442e-25
-1.626220702125,-8.668640875012827e-25
-1.6259765615,-8.772188475828084e-25
-1.625732420875,-8.8715205289286e-25
-1.62548828025,-8.966258439732336e-25
-1.625244139625,-9.056050971383026e-25
-1.624999999,-9.140619694863094e-25
-1.624755858375,-9.219777299095518e-25
-1.62451171775,-9.29341721017014e-25
-1.624267577125,-9.361481599106348e-25
-1.6240234365,-9.423918532746157e-25
-1.623779295875,-9.480642072258637e-25
-1.62353515525,-9.53151003379113e-25
-1.623291014625,-9.576327116845285e-25
-1.623046874,-9.614867767115556e-25
-1.622802733375,-9.646904287246065e-25
-1.62255859275,-9.672228534654519e-25
-1.622314452125,-9.690664478431816e-25
-1.6220703115,-9.702073969804321e-25
-1.621826170875,-9.706357727801863e-25
-1.62158203025,-9.703453207597471e-25
-1.621337889625,-9.693332062893431e-25
-1.621093749,-9.67599787535144e-25
-1.620849608375,-9.65147938300788e-25
-1.62060546775,-9.619813088310148e-25
-1.620361327125,-9.581016696091484e-25
-1.6201171865,-9.535064666739716e-25
-1.619873045875,-9.481878859128695e-25
-1.61962890525,-9.42133997066097e-25
-1.619384764625,-9.35331745614185e-25
-1.619140624,-9.277711333442294e-25
-1.618896483375,-9.19449534443532e-25
-1.61865234275,-9.103745689406222e-25
-1.618408202125,-9.005639588055645e-25
-1.6181640615,-8.900419143106762e-25
-1.617919920875,-8.788332732586932e-25
-1.61767578025,-8.669576092348711e-25
-1.617431639625,-8.544253458753688e-25
-1.617187499,-8.412371095072743e-25
-1.616943358375,-8.273866433687481e-25
-1.61669921775,-8.128664975666708e-25
-1.616455077125,-7.97674457414014e-25
-1.6162109365,-7.818181025120815e-25
-1.615966795875,-7.653157574918451e-25
-1.61572265525,-7.481939084142828e-25
-1.615478514625,-7.304825564252675e-25
-1.615234374,-7.1221025756945095e-25
-1.614990233375,-6.9340023586171095e-25
-1.61474609275,-6.740685503924125e-25
-1.614501952125,-6.542247113250979e-25
-1.6142578115,-6.338741467167091e-25
-1.614013670875,-6.130210845806253e-25
-1.61376953025,-5.916705627293182e-25
-1.613525389625,-5.698292875100272e-25
-1.613281249,-5.4750588476086e-25
-1.613037108375,-5.247110875008474e-25
-1.61279296775,-5.014580155907698e-25
-1.612548827125,-4.777625176874259e-25
-1.6123046865,-4.5364342482442455e-25
-1.612060545875,-4.291221730514619e-25
-1.61181640525,-4.0422099904090045e-25
-1.611572264625,-3.7895955219756986e-25
-1.611328124,-3.5335111572304445e-25
-1.611083983375,-3.2740045442823895e-25
-1.61083984275,-3.0110475990667423e-25
-1.610595702125,-2.7445773768614655e-25
-1.6103515615,-2.474556271499012e-25
-1.610107420875,-2.201032432230545e-25
-1.60986328025,-1.924178237437641e-25
-1.609619139625,-1.64428770692288e-25
-1.609374999,-1.361727694880588e-25
-1.609130858375,-1.07685911075427e-25
-1.60888671775,-7.89959595347635e-26
-1.608642577125,-5.0117754620257437e-26
-1.6083984365,-2.1053266046478699e-26
-1.608154295875,8.203877046830966e-27
-1.60791015525,3.766092341070829e-26
-1.607666014625,6.731820152816288e-26
-1.607421874,9.71639909581384e-26
-1.607177733375,1.2717410642290078e-25
-1.60693359275,1.573160011258228e-25
-1.606689452125,1.8755506351407386e-25
-1.6064453115,2.1786017106446294e-25
-1.606201170875,2.482065207451892e-25
-1.60595703025,2.7857525261408737e-25
-1.605712889625,3.0895065527453003e-25
-1.605468749,3.393166586140589e-25
-1.605224608375,3.696546357168412e-25
-1.60498046775,3.99943714294159e-25
-1.604736327125,4.301629872092472e-25
-1.6044921865,4.602935190500997e-25
-1.604248045875,4.903181656365442e-25
-1.60400390525,5.202187998231048e-25
-1.603759764625,5.499722328604869e-25
-1.603515624,5.795469357048521e-25
-1.603271483375,6.089025708571634e-25
-1.60302734275,6.379935290643865e-25
-1.602783202125,6.667760281990878e-25
-1.6025390615,6.952162180644666e-25
-1.602294920875,7.232954560005892e-25
-1.60205078025,7.5100973903203155e-25
-1.601806639625,7.783629373137003e-25
-1.601562499,8.0535632763314095e-25
-1.601318358375,8.319785376802246e-25
-1.60107421775,8.582000522140561e-25
-1.600830077125,8.839750535008134e-25
-1.6005859365,9.09250628317202e-25
-1.600341795875,9.339798916614033e-25
-1.60009765525,9.581331559849867e-25
-1.599853514625,9.817018059042209e-25
-1.599609374,1.0046930833328563e-24
-1.599365233375,1.027118462734302e-24
-1.59912109275,1.0489812207006955e-24
-1.598876952125,1.0702689883050717e-24
-1.5986328115,1.0909546850126282e-24
-1.598388670875,1.1110051576678194e-24
-1.59814453025,1.1303927101115838e-24
-1.597900389625,1.1491028367537888e-24
-1.597656249,1.1671335343684951e-24
-1.597412108375,1.1844867212300758e-24
-1.59716796775,1.2011572710027768e-24
-1.596923827125,1.2171267273321744e-24
-1.5966796865,1.2323660845991257e-24
-1.596435545875,1.2468468219474494e-24
-1.59619140525,1.260554416922336e-24
-1.595947264625,1.27349637129401e-24
-1.595703124,1.2856989212330985e-24
-1.595458983375,1.297192654136669e-24
-1.59521484275,1.3079940811123487e-24
-1.594970702125,1.3180933629827798e-24
